Chemical_Substance,HF298 (kJ/mol),Uncertainty (kJ/mol),Coefficient_1 (High-temperature; T in Kelvin),Coefficient_2 (High-temperature; T in Kelvin),Coefficient_3 (High-temperature; T in Kelvin),Coefficient_4 (High-temperature; T in Kelvin),Coefficient_5 (High-temperature; T in Kelvin),Coefficient_6 (High-temperature; T in Kelvin),Coefficient_7 (High-temperature; T in Kelvin),Coefficient_1 (Low-temperature; T in Kelvin),Coefficient_2 (Low-temperature; T in Kelvin),Coefficient_3 (Low-temperature; T in Kelvin),Coefficient_4 (Low-temperature; T in Kelvin),Coefficient_5 (Low-temperature; T in Kelvin),Coefficient_6 (Low-temperature; T in Kelvin),Coefficient_7 (Low-temperature; T in Kelvin),Reference_Code,References,References_for_Additional_Information
F2,0.0,NaN,3.86166219E+00,7.88367679E-04,-1.81982940E-07,-9.17436560E-12,2.65193472E-15,-1.23238655E+03,2.04119869E+00,3.20832415E+00,1.25919179E-03,3.89747979E-06,-7.22184984E-09,3.31837862E-12,-1.03425794E+03,5.61903603E+00,RUS,NaN,No Additional Information Provided
F2O,24.5,2. ,6.06108975E+00,1.15961203E-03,-3.75240266E-07,6.51442886E-11,-4.05767505E-15,8.77698718E+02,-5.59764248E+00,2.70030207E+00,1.13302499E-02,-1.03150938E-05,2.39433049E-09,7.96759423E-13,1.72399199E+03,1.14405456E+01,g,NaN,REF=ATCT A
F2O2,19.2,2. ,8.65306600E+00,1.38757623E-03,-5.45322964E-07,9.33107078E-11,-5.81240066E-15,1.04381815E+03,-1.69986695E+01,2.14732347E+00,2.93490625E-02,-4.95409067E-05,4.05002590E-08,-1.28729207E-11,2.37236337E+03,1.42255077E+01,ATcT,ATCT A,REF=CHASE JPCRD 25 (1996);551
Fe,415.5, 1.3 ,3.26197970E+00,-1.05582533E-03,5.92906998E-07,-1.07189455E-10,7.48064402E-15,4.90969873E+04,3.52443894E+00,1.70744428E+00,1.06339224E-02,-2.76118171E-05,2.80917854E-08,-1.01219824E-11,4.91843725E+04,9.80811099E+00,J,JANAF,No Additional Information Provided
Fe+,NaN,NaN,3.33602399E+00,-2.72549262E-04,8.05440344E-09,1.51229089E-11,-1.43376595E-15,1.41036455E+05,2.86476968E+00,2.76418106E+00,2.86948238E-03,-7.61235651E-06,8.18183334E-09,-3.11792199E-12,1.41159039E+05,5.53997981E+00,J,JANAF,No Additional Information Provided
Fe-,NaN,NaN,3.36310586E+00,-8.29375042E-04,3.12426241E-07,-5.20068355E-11,3.17875241E-15,4.63564307E+04,2.76802421E+00,1.52174510E+00,9.79673193E-03,-2.11078670E-05,1.84820903E-08,-5.89537134E-12,4.65710215E+04,1.08683385E+01,J,JANAF,No Additional Information Provided
ClFe,251.0, 84 ,4.69406690E+00,1.16040780E-04,-2.08401750E-08,-1.76265560E-12,5.23138140E-16,2.87903440E+04,4.19355506E+00,3.78858260E+00,4.36780110E-03,-6.69223280E-06,4.17074540E-09,-8.46867730E-13,2.89200970E+04,8.35336756E+00,J,JANAF,No Additional Information Provided
Cl2Fe,-141.0,2.1 ,6.94926010E+00,5.33716410E-04,7.02212070E-08,-6.14754900E-11,6.79331430E-15,-1.90458320E+04,-3.75951441E+00,5.45575050E+00,7.96329270E-03,-1.25939640E-05,8.99767340E-09,-2.32423630E-12,-1.88442970E+04,3.02284219E+00,J,JANAF,No Additional Information Provided
Cl3Fe,-253.13, 5.0 ,9.77711060E+00,2.44213620E-04,-1.03139940E-07,1.92074260E-11,-1.31792990E-15,-3.34395700E+04,-1.45491463E+01,7.56148730E+00,9.73382490E-03,-1.55433050E-05,1.11863680E-08,-3.00229980E-12,-3.30136240E+04,-3.98583203E+00,J,JANAF,No Additional Information Provided
FeO,251.04, 20.9 ,4.20498170E+00,2.68384520E-04,-8.94267360E-08,3.18559110E-11,-3.39225430E-15,2.88291700E+04,4.83043159E+00,2.82452560E+00,4.30492070E-03,-4.10847810E-06,1.32011890E-09,7.13162170E-14,2.91940350E+04,1.18911760E+01,J,NaN,No Additional Information Provided
FeH2O2,-330.54, 2.1 ,8.96262012E+00,4.20137342E-03,-1.61017443E-06,2.68347076E-10,-1.63497305E-14,-4.27994358E+04,-1.86912367E+01,-1.67667734E+00,6.16931464E-02,-1.20738995E-04,1.09814026E-07,-3.72856831E-11,-4.11289708E+04,2.96771710E+01,J,NaN,No Additional Information Provided
FeS,370.767,NaN,4.14494627E+00,7.05834738E-04,-5.16986528E-07,1.86466769E-10,-2.22683845E-14,4.33002296E+04,6.46991922E+00,2.90286012E+00,6.65546290E-03,-1.14989921E-05,9.33240931E-09,-2.89374741E-12,4.35159803E+04,1.22605433E+01,B,NaN,No Additional Information Provided
Cl4Fe2,-431.37, 4.2 ,1.53575000E+01,6.42078610E-04,2.08177300E-08,-5.15805590E-11,6.06734950E-15,-5.65100370E+04,-3.18965871E+01,1.27382420E+01,1.32355580E-02,-2.16418730E-05,1.59936670E-08,-4.35070970E-12,-5.61065790E+04,-1.98247491E+01,J,JANAF,No Additional Information Provided
Cl6Fe2,-654.38, 8.4 ,2.15645031E+01,4.62349015E-04,-1.84952078E-07,3.20143043E-11,-2.01002737E-15,-8.52432375E+04,-5.86538185E+01,1.42211808E+01,4.35485968E-02,-9.60390188E-05,9.37463081E-08,-3.36051626E-11,-8.41996265E+04,-2.59244694E+01,J,JANAF,No Additional Information Provided
BrGe,137.44,NaN,5.37334408E+00,-6.76936973E-04,2.44834869E-07,-3.17858430E-11,1.25231490E-15,1.48281157E+04,2.07006807E-01,3.55872665E+00,3.55692441E-03,-5.33454710E-07,-4.21585176E-09,2.54436386E-12,1.53226264E+04,9.65613413E+00,RUS,NaN,No Additional Information Provided
Br2Ge,-60.963,NaN,6.88516604E+00,1.21917413E-04,-4.87714621E-08,8.44224690E-12,-5.30054609E-16,-9.41426303E+03,-9.38759565E-01,4.95506908E+00,1.14288300E-02,-2.51749286E-05,2.45541548E-08,-8.79690109E-12,-9.13939058E+03,7.66723245E+00,s,GURVICH 1991. .,No Additional Information Provided
Br3Ge,-119.031,50. ,9.76493341E+00,2.49387982E-04,-9.97238821E-08,1.72573376E-11,-1.08331733E-15,-1.72888982E+04,-1.21585258E+01,5.95663141E+00,2.23501022E-02,-4.89008509E-05,4.74893514E-08,-1.69644626E-11,-1.67392586E+04,4.86495514E+00,RUS,GURVICH 1991 .,No Additional Information Provided
Br4Ge,-291.0,6. ,1.26993588E+01,3.18891973E-04,-1.27501775E-07,2.20626094E-11,-1.38489060E-15,-3.88643283E+04,-2.49634414E+01,7.87919568E+00,2.82172586E-02,-6.16193016E-05,5.97669067E-08,-2.13326327E-11,-3.81660434E+04,-3.40153686E+00,RUS,GURVICH 1991.,No Additional Information Provided
ClGe,69.03,18. ,5.17762971E+00,-4.66039986E-04,1.42197756E-07,-1.05389955E-11,6.01746946E-17,6.69935596E+03,5.74624469E-03,2.72444852E+00,8.95175345E-03,-1.25463066E-05,6.75349002E-09,-1.04007672E-12,7.19016201E+03,1.18835382E+01,A,NaN,REF=WANG & ZHANG JPC A 108; (2004);10346-353
Cl2Ge,-171.0,5. ,6.79351478E+00,2.18561190E-04,-8.72823862E-08,1.50910985E-11,-9.46763902E-16,-2.21563223E+04,-3.25039811E+00,3.84255008E+00,1.67529188E-02,-3.57118572E-05,3.40926252E-08,-1.20372990E-11,-2.17097912E+04,1.00619837E+01,A,WANG & ZHANG JPC A 108 (2004) 10346-353,REF=GURVICH 1991)
Cl3Ge,-234.4,NaN,9.66739396E+00,3.52083734E-04,-1.40609944E-07,2.43120518E-11,-1.52528179E-15,-3.11661085E+04,-1.46964485E+01,4.87749855E+00,2.72689732E-02,-5.82615423E-05,5.57079208E-08,-1.96911957E-11,-3.04439818E+04,6.89576825E+00,A,WANG & ZHANG JPC A 108 (2004) 10346-353,NaN
Cl4Ge,-500.9,5.0 ,1.24258326E+01,6.06654290E-04,-2.42012844E-07,4.18147899E-11,-2.62205604E-15,-6.40524947E+04,-2.93922591E+01,4.88842695E+00,4.18964270E-02,-8.77843613E-05,8.28593113E-08,-2.90301372E-11,-6.28780637E+04,4.80674244E+00,A,WANG & ZHANG JPC A 108 (2004) 10346-353,NaN
ClGeH3,57.7,NaN,7.05170839E+00,5.69805692E-03,-2.14367790E-06,3.56659527E-10,-2.17964076E-14,4.17257822E+03,-1.06064602E+01,1.12153499E+00,2.60156187E-02,-3.16506126E-05,2.16972347E-08,-6.24282523E-12,5.68867761E+03,1.92353641E+01,A,WANG & ZHANG JPC A 108 (2004) 10346-353,No Additional Information Provided
GeH4,90.3,2. ,5.41474159E+00,7.24155154E-03,-2.71818301E-06,4.51535021E-10,-2.75635275E-14,8.46356611E+03,-7.83419271E+00,2.54992789E+00,7.13885765E-03,1.43758337E-05,-2.33592977E-08,9.65676013E-12,9.69756465E+03,9.02678812E+00,A,WANG & ZHANG JPC A 108 (2004)  10346-353,REF=GUNN GREEN JPC 65;(1961);779
H,217.998,3.4E-5  ,0.25000000E+01,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.25473660E+05,-0.44668285E+00,0.25000000E+01,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.25473660E+05,-0.44668285E+00,L,"C.E. MOORE ""SELECTED TABLES OF ATOMIC SPECTRA"" NSRDS-NBS SEC 6 1972 P. A1 I.",REF=ATCT A
H+,NaN,NaN,2.50000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,1.84021488E+05,-1.14064664E+00,2.50000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,1.84021488E+05,-1.14064664E+00,g,NaN,No Additional Information Provided
H-,NaN,NaN,0.25000000E+01,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.15976167E+05,-0.11390139E+01,0.25000000E+01,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.15976167E+05,-0.11390139E+01,L,JANAF 1982,No Additional Information Provided
BrH,-36.29,0.16 ,0.28330819E+01,0.14872632E-02,-0.51463345E-06,0.87853840E-10,-0.57591453E-14,-0.52289003E+04,0.74405672E+01,0.34894141E+01,0.27295667E-03,-0.15997163E-05,0.33659948E-08,-0.16408428E-11,-0.54089034E+04,0.39796907E+01,RUS,GURVICH 1989,REF=ATCT A
ClH,-92.31,NaN,0.27575767E+01,0.14538737E-02,-0.47964697E-06,0.77790943E-10,-0.47957377E-14,-0.11913766E+05,0.65219722E+01,0.34637647E+01,0.47648423E-03,-0.20030122E-05,0.33171437E-08,-0.14495818E-11,-0.12144352E+05,0.26642828E+01,RUS,GURVICH 1989,REF=ATCT A
ClHO,NaN,NaN,0.43664934E+01,0.20513656E-02,-0.67087650E-06,0.10131893E-09,-0.57791828E-14,-0.10576070E+05,0.28049555E+01,0.35465037E+01,0.23321738E-02,0.52331522E-05,-0.97366010E-08,0.44672936E-11,-0.10299629E+05,0.73974601E+01,RUS,GURVICH 89,No Additional Information Provided
FH,-273.3,0.7 ,0.29204304E+01,0.85796097E-03,-0.16306811E-06,0.13780358E-10,-0.29021238E-15,-0.33685882E+05,0.42144066E+01,0.34811480E+01,0.21334107E-03,-0.68985280E-06,0.85966803E-09,-0.23549086E-12,-0.33913127E+05,0.10259567E+01,RUS,GURVICH 1989,REF=ATCT A
FHO,NaN,NaN,0.41252846E+01,0.23151964E-02,-0.77666557E-06,0.11954885E-09,-0.69172673E-14,-0.13072651E+05,0.28986184E+01,0.39203542E+01,-0.13992801E-02,0.13911528E-04,-0.17901805E-07,0.72456494E-11,-0.12851722E+05,0.48785828E+01,RUS,GURVICH 89,No Additional Information Provided
HI,26.359,0.21 ,2.91040080E+00,1.56881880E-03,-5.92276320E-07,1.05370940E-10,-7.03751160E-15,2.25086590E+03,7.86447051E+00,3.69637220E+00,-1.42247550E-03,3.01311880E-06,-1.26664030E-09,-3.50987650E-14,2.10735810E+03,4.08812111E+00,J,JANAF,REF=ATCT A
HNO,26.558,0.047 ,3.16598124E+00,2.99958892E-03,-3.94376786E-07,-3.85344089E-11,7.07602668E-15,1.17726311E+04,7.64511172E+00,4.53525574E+00,-5.68543377E-03,1.85198540E-05,-1.71881225E-08,5.55818157E-12,1.16183003E+04,1.74315886E+00,ATcT,JACOX (1988)  ATCT A,NaN
HNO2,NaN,NaN,0.57919018E+01,0.36515212E-02,-0.12928936E-05,0.20688716E-09,-0.12315254E-13,-0.11565589E+05,-0.40558233E+01,0.32141709E+01,0.81276869E-02,0.16602559E-05,-0.95285182E-08,0.48715058E-11,-0.10753237E+05,0.98219504E+01,RUS,GURVICH 1989  .,No Additional Information Provided
HNO3,-134.112,0.18  ,8.03098942E+00,4.46958589E-03,-1.72459491E-06,2.91556153E-10,-1.80102702E-14,-1.93138183E+04,-1.62616537E+01,1.69329154E+00,1.90167702E-02,-8.25176697E-06,-6.06113827E-09,4.65236978E-12,-1.74198909E+04,1.71839838E+01,T,DOROFEEVA JPCRD 32 (2003) 879,REF=ATCT A
HO,37.3,0.3 ,2.83853033E+00,1.10741289E-03,-2.94000209E-07,4.20698729E-11,-2.42289890E-15,3.69780808E+03,5.84494652E+00,3.99198424E+00,-2.40106655E-03,4.61664033E-06,-3.87916306E-09,1.36319502E-12,3.36889836E+03,-1.03998477E-01,IU,"POLY- NOMIALS WERE CALCULATED DIRECTLY FROM GURVICHS TABLES WICH ARE DIRECT SUMMATION ""  RUSCIC ET AL JPC 106 (2002) 2727. RUSCIC ET AL JPCRD 2005",REF=ATCT A
HO+,1290.204,NaN,2.68358997E+00,1.57006432E-03,-5.39972805E-07,9.37643859E-11,-5.70068055E-15,1.54395744E+05,6.44375888E+00,3.50502572E+00,2.41313749E-04,-1.42200949E-06,2.64780232E-09,-1.17038711E-12,1.54127124E+05,1.97907627E+00,RUS,TSIV 78,No Additional Information Provided
HO-,NaN,NaN,2.83405701E+00,1.07058023E-03,-2.62459398E-07,3.08376435E-11,-1.31383862E-15,-1.80186974E+04,4.49464762E+00,3.43279956E+00,6.19656310E-04,-1.89930992E-06,2.37365946E-09,-8.55103755E-13,-1.82613086E+04,1.06053670E+00,L,TSIV 78,No Additional Information Provided
HO2,12.296,0.25  ,0.41722659E+01,0.18812098E-02,-0.34629297E-06,0.19468516E-10,0.17609153E-15,0.61818851E+02,0.29577974E+01,0.43017880E+01,-0.47490201E-02,0.21157953E-04,-0.24275961E-07,0.92920670E-11,0.29480876E+03,0.37167010E+01,L,JACOX JPCRD 17  (1988) P.269  HILLS & HOWARD J. CHEM. PHYS 81 (1984)  4458,REF=ATCT A
HOP,NaN,NaN,0.42999621E+01,0.26002099E-02,-0.99411489E-06,0.16916642E-09,-0.10420412E-13,-0.84075730E+04,0.27172028E+01,0.40742366E+01,-0.31019711E-02,0.18964972E-04,-0.22506453E-07,0.86340185E-11,-0.80437690E+04,0.53965266E+01,RUS,GURVICH 1989,No Additional Information Provided
HS,141.87,0.52 ,3.03153027E+00,1.25805252E-03,-4.05524133E-07,6.19648110E-11,-3.50862111E-15,1.62059674E+04,6.15022140E+00,3.68466877E+00,3.24608824E-03,-1.28635079E-05,1.69512196E-08,-7.07595387E-12,1.59036477E+04,2.01781634E+00,IU,CSAZAR LENINGER & BURCAT J.CHEM PHYS 2003 .,No Additional Information Provided
HOS,-20.895,41.84 ,0.43544347E+01,0.20549939E-02,-0.67083934E-06,0.10119158E-09,-0.57672355E-14,-0.39895568E+04,0.32303081E+01,0.36922437E+01,0.44545692E-03,0.10785948E-04,-0.15975515E-07,0.68858806E-11,-0.37006791E+04,0.73216957E+01,T,C. MELIUS BAC/MP4 DATABASE  PRIVATE COMMUNICATION,No Additional Information Provided
HO2S,-255.885,NaN,6.45143466E+00,2.48602888E-03,-8.43212436E-07,1.30962437E-10,-7.63196759E-15,-3.29875786E+04,-4.61876333E+00,3.69601366E+00,9.53437650E-03,-3.92988151E-06,-4.41313434E-09,3.33020726E-12,-3.22589853E+04,9.59023664E+00,T,C. MELIUS BAC/MP4 DATABASE  PRIVATE COMMUNICATION,No Additional Information Provided
HO3S,-385.346,NaN,0.91911575E+01,0.27980912E-02,-0.97493219E-06,0.15441946E-09,-0.91299297E-14,-0.49457258E+05,-0.18510636E+02,0.90501684E+00,0.38941616E-01,-0.63379448E-04,0.49872276E-07,-0.15179855E-10,-0.47836694E+05,0.21006792E+02,T,C. MELIUS BAC/MP4 DATABASE  PRIVATE COMMUNICATION  MARGITAN J.J. JPC 88 (1984)  3314 .,No Additional Information Provided
HS2,103.387,NaN,4.75155728E+00,2.15521745E-03,-7.39343908E-07,1.22229939E-10,-7.35968292E-15,1.08214337E+04,2.68990027E+00,2.96279116E+00,8.56185025E-03,-9.91987786E-06,6.19874244E-09,-1.52120491E-12,1.12507023E+04,1.15828502E+01,T,JML MARTIN CALC CCSD(T)/CC-PV(Q+D)Z DEC 2001.(),REF=DECKER ET; AL INT. J. MASS. SPEC;185-187; (1999);727-747.
H2,0.0,NaN,0.29328305E+01,0.82659802E-03,-0.14640057E-06,0.15409851E-10,-0.68879615E-15,-0.81305582E+03,-0.10243164E+01,0.23443029E+01,0.79804248E-02,-0.19477917E-04,0.20156967E-07,-0.73760289E-11,-0.91792413E+03,0.68300218E+00,RUS,TSIV,No Additional Information Provided
F2H2,NaN,NaN,0.65095969E+01,0.19848359E-02,-0.46422746E-06,0.49022863E-10,-0.18846028E-14,-0.70500916E+05,-0.61547561E+01,0.33553129E+01,0.22103635E-01,-0.43986009E-04,0.40099889E-07,-0.13495484E-10,-0.70212768E+05,0.72994688E+01,RUS,GURVICH 89,No Additional Information Provided
H2O,-241.826,0.04 ,0.26770389E+01,0.29731816E-02,-0.77376889E-06,0.94433514E-10,-0.42689991E-14,-0.29885894E+05,0.68825500E+01,0.41986352E+01,-0.20364017E-02,0.65203416E-05,-0.54879269E-08,0.17719680E-11,-0.30293726E+05,-0.84900901E+00,L,WOOLEY J. RES. NBS 92 (1987)  35.  BASED ON HF298(L) FROM COX  WAGMAN & MEDVEDEV CODATA KEY VAL. FOR THERMO  HEMISPHERE 1989 P.21 AND HEAT OF VAP. FROM HAAR  GALLAGHER & KELL NBS/NRC TABLES  HEMISPHERE 1984.,REF=ATCT A
H2O2,-135.77,0.07  ,4.57977305E+00,4.05326003E-03,-1.29844730E-06,1.98211400E-10,-1.13968792E-14,-1.80071775E+04,6.64970694E-01,4.31515149E+00,-8.47390622E-04,1.76404323E-05,-2.26762944E-08,9.08950158E-12,-1.77067437E+04,3.27373319E+00,T,DOROFEEVA ET AL JPCRD 32 (2003) 879,REF=ATCT A
H2S,-20.6,NaN,0.29770813E+01,0.36005325E-02,-0.12328487E-05,0.19692654E-09,-0.11677327E-13,-0.35155970E+04,0.67868340E+01,0.41194112E+01,-0.18771599E-02,0.82066045E-05,-0.70594243E-08,0.21405829E-11,-0.36819294E+04,0.15345832E+01,RUS,GURVICH 1989,No Additional Information Provided
H2O4S,-732.7,NaN,1.13355392E+01,5.60829109E-03,-1.94574192E-06,3.07136054E-10,-1.81109544E-14,-9.21087435E+04,-2.96094003E+01,4.53388173E+00,3.10347679E-02,-4.10421795E-05,2.95752341E-08,-8.81459071E-12,-9.05459072E+04,3.93961412E+00,T,DOROFEEVA ET AL JPCRD 32 (2003) 879 . CALCULATED FROM ORIGINAL TABLES.,No Additional Information Provided
H2S2,64.852,NaN,5.69402902E+00,3.90495326E-03,-1.41886468E-06,2.30688658E-10,-1.38745854E-14,-1.65807167E+02,-3.74138641E+00,2.09117166E+00,1.94220358E-02,-2.89395611E-05,2.30251562E-08,-7.20187083E-12,5.91056782E+02,1.35883795E+01,T,MOPAC AM1-UHF  JACOX+SHIMANOUCHI NIST WEBBOOK 2000  KERR CRC HANDBOOK OF CHEM AND PHYS 2002.,No Additional Information Provided
F3H3,NaN,NaN,0.87390503E+01,0.59975373E-02,-0.20456662E-05,0.31840506E-09,-0.18565610E-13,-0.10935328E+06,-0.18233375E+02,0.15442408E+01,0.38576820E-01,-0.59195549E-04,0.45635939E-07,-0.13570689E-10,-0.10801711E+06,0.15744454E+02,RUS,NaN,No Additional Information Provided
H3O+,598.0,NaN,0.24964777E+01,0.57284481E-02,-0.18395322E-05,0.27357729E-09,-0.15409386E-13,0.70972911E+05,0.74585048E+01,0.37929561E+01,-0.91087830E-03,0.11636414E-04,-0.12136548E-07,0.42616180E-11,0.70751240E+05,0.14715543E+01,RUS,GURVICH 1989,No Additional Information Provided
F4H4,NaN,NaN,0.12317199E+02,0.79983433E-02,-0.27282048E-05,0.42465241E-09,-0.24761183E-13,-0.14704897E+06,-0.31058240E+02,0.26932762E+01,0.51626337E-01,-0.79360527E-04,0.61278889E-07,-0.18250746E-10,-0.14526330E+06,0.14381384E+02,RUS,GURVICH 89,No Additional Information Provided
F5H5,NaN,NaN,0.15895341E+02,0.99991630E-02,-0.34107496E-05,0.53090070E-09,-0.30956799E-13,-0.18474466E+06,-0.44099390E+02,0.38423046E+01,0.64675877E-01,-0.99525494E-04,0.76921762E-07,-0.22930752E-10,-0.18250949E+06,0.12802019E+02,RUS,GURVICH 89 KJ,No Additional Information Provided
F6H6,NaN,NaN,0.19464060E+02,0.11926891E-01,-0.40493043E-05,0.62823170E-09,-0.36546130E-13,-0.22389232E+06,-0.56827093E+02,0.47664477E+01,0.78603132E-01,-0.12115664E-03,0.93614852E-07,-0.27894457E-10,-0.22117213E+06,0.12546784E+02,RUS,NaN,No Additional Information Provided
F7H7,NaN,NaN,0.23051635E+02,0.14000785E-01,-0.47758323E-05,0.74339634E-09,-0.43347992E-13,-0.26049687E+06,-0.70563434E+02,0.61403336E+01,0.90775247E-01,-0.13985636E-03,0.10820867E-06,-0.32291248E-10,-0.25736269E+06,0.92617199E+01,RUS,GURVICH 89 HF0,No Additional Information Provided
He,0.0,NaN,2.50000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,-7.45375000E+02,9.28723974E-01,2.50000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,-7.45375000E+02,9.28723974E-01,L,"MCBRIDE  HEIMEL  EHLERS & GORDON ""THERMODYNAMIC PROPERTIES TO 6000K ..."" NASA SP-3001 1963.",No Additional Information Provided
He+,NaN,NaN,2.50000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,2.85323374E+05,1.62166556E+00,2.50000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,2.85323374E+05,1.62166556E+00,g,NaN,No Additional Information Provided
Hg,61.38,0.04 ,2.50953611E+00,-1.98827279E-05,1.38910849E-08,-3.93542920E-12,3.90959219E-16,6.63358064E+03,6.74847966E+00,2.50000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,6.63690008E+03,6.80020154E+00,J,JANAF 1984 FOR THE GAS PHASE ABOVE 630 K THE HF(T),No Additional Information Provided
Br2Hg,-85.454,NaN,7.42269900E+00,7.86876630E-05,-2.99103070E-08,4.84982280E-12,-2.79309330E-16,-1.25220200E+04,-3.86733971E+00,6.71889210E+00,2.57827430E-03,-2.91802370E-06,9.58184420E-10,1.38723070E-13,-1.23714340E+04,-4.13670823E-01,J,NASA OLD POLYNOMIAL DATABASE QUOTING JANAF 1962 TABLES NOT INCLUDED IN FOLLOWING EDITIONS.,No Additional Information Provided
ClHg,78.45,NaN,4.45021150E+00,1.51707424E-04,-2.26822222E-08,4.20577307E-12,-2.88049761E-16,8.08558085E+03,5.83071658E+00,3.74145448E+00,3.69165193E-03,-6.83637866E-06,5.88297146E-09,-1.89767893E-12,8.20538451E+03,9.10829950E+00,T,HF298 AND DATA TAKEN FROM WEBBOOK 2003 QUOTING JANAF 1961 LOOSE LEAF. DATA DO NOT MATCH.,No Additional Information Provided
Cl2Hg,-146.29,NaN,7.39652541E+00,8.32747985E-05,-2.47105146E-08,3.02995739E-12,-1.23771168E-16,-1.98011886E+04,1.55281444E+01,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,T,HF298 AND DATA TAKEN FROM WEBBOOK 2003 QUOTING JANAF 1961. NO GAS PHASE DATA AVAILABLE BELOW 1500 K.,No Additional Information Provided
I,106.756,0.04 ,2.61667712E+00,-2.66010320E-04,1.86060150E-07,-3.81927472E-11,2.52036053E-15,1.20582790E+04,6.87896653E+00,2.50041683E+00,-4.48046831E-06,1.69962536E-08,-2.67708030E-11,1.48927452E-14,1.20947990E+04,7.49816581E+00,J,JANAF,REF=ATCT A
INO2,60.25,4.184 ,7.95621858E+00,2.06254528E-03,-8.00706693E-07,1.35937003E-10,-8.42239842E-15,4.51430115E+03,-1.11369097E+01,3.03369023E+00,2.20635097E-02,-3.60079637E-05,3.05880596E-08,-1.03317241E-11,5.62372932E+03,1.28994935E+01,T,ESTIMATED BY VAN DEN BERG & TROE J. CHEM. PHYS. 64  (1976) 736,No Additional Information Provided
IO,126.0, 18 ,4.43373036E+00,8.12520620E-04,-3.07327741E-07,6.49186840E-11,-1.64640359E-15,1.36225573E+04,2.96744910E+00,2.90243248E+00,5.16413407E-03,-6.69836698E-06,5.78794148E-09,-2.15394553E-12,1.41080990E+04,1.10195868E+01,T,C.W.CHASE JPCRD 25 (1966) 1297 .,No Additional Information Provided
IO2,116.5, 40 ,5.98554951E+00,1.00992962E-03,-3.88836232E-07,6.56594736E-11,-4.05315145E-15,1.20886501E+04,1.04056474E+00,5.01488370E+00,4.03669659E-03,-5.27430680E-06,4.73349091E-09,-1.84251518E-12,1.23751572E+04,6.06532665E+00,T,C.W.CHASE JPCRD 25 (1966) 1297,No Additional Information Provided
IO3,241.9, 50 ,8.79038934E+00,1.25737248E-03,-4.96749925E-07,8.52803184E-11,-5.32401360E-15,2.61270594E+04,-1.59036984E+01,1.87546093E+00,2.97337732E-02,-4.73077645E-05,3.59378000E-08,-1.06083014E-11,2.75649245E+04,1.74919459E+01,T,C.W.CHASE JPCRD 25 (1966) 1297,No Additional Information Provided
I2,62.415,0.08 ,0.44710820E+01,0.10020430E-03,-0.14380573E-07,0.27741939E-11,-0.19669640E-15,0.61639529E+04,0.58150347E+01,0.41670013E+01,0.14456721E-02,-0.22818415E-05,0.17076469E-08,-0.47899533E-12,0.62206616E+04,0.72552216E+01,J,JANAF  ATCT A,No Additional Information Provided
I2O,106.7, 40 ,6.67743067E+00,3.35545667E-04,-1.32620068E-07,2.27738344E-11,-1.42202132E-15,1.07480142E+04,1.43598484E+00,4.83414789E+00,7.77521188E-03,-1.20331147E-05,8.84990542E-09,-2.52444240E-12,1.11361166E+04,1.03678902E+01,T,C.W.CHASE JPCRD 25 (1966)1297 .,No Additional Information Provided
K,89.0,0.4 ,2.26026721E+00,5.62341179E-04,-4.48551838E-07,1.36243498E-10,-1.02926268E-14,1.00348812E+04,6.31568201E+00,2.50000712E+00,-7.25113166E-08,2.59068481E-10,-3.79460911E-13,1.93210641E-16,9.95880307E+03,5.04054517E+00,L,JANAF 1983,No Additional Information Provided
K+,514.0,NaN,2.50000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,6.10751051E+04,4.34740449E+00,2.50000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,6.10751051E+04,4.34740449E+00,J,JANAF 1983,No Additional Information Provided
KNO3,-315.833,NaN,9.83342547E+00,3.24949762E-03,-1.28263805E-06,2.21146538E-10,-1.38801628E-14,-4.15640186E+04,-2.06635840E+01,4.62661240E+00,1.20422956E-02,5.33588742E-06,-1.98979277E-08,9.90068378E-12,-3.99129238E+04,7.42946290E+00,T,MCBRIDE  ZEHE  GORDON NASA/TP-2002-211556  GURVICH 1982+1991,No Additional Information Provided
